clause,verb,phrase,cmpl_type,cmpl_func
432280,NTN[,665829,<L,DIR
451492,NTN[,724213,B,-
465081,NTN[,765048,B,-
450722,NTN[,721720,B,-
467680,NTN[,772643,B,-
465060,NTN[,764983,B,-
464553,NTN[,763531,B,-
449441,NTN[,717901,B,-
464524,NTN[,763446,B,-
449472,NTN[,717987,B,-
449336,NTN[,717582,B,-
449521,NTN[,718134,B,-
453755,NTN[,731007,B,-
459892,NTN[,749697,B,-
458914,NTN[,746786,B,-
449740,NTN[,718835,B,-
449789,NTN[,718987,B,-
451679,NTN[,724683,B,-
449850,NTN[,719179,B,-
449924,NTN[,719401,B,-
452031,NTN[,725756,B,-
458516,NTN[,745505,B,-
455414,NTN[,736075,B,-
453362,NTN[,729858,B,-
457059,NTN[,741046,B,-
464245,NTN[,762649,B,-
455426,NTN[,736115,B,-
453199,NTN[,729361,B,-
453195,NTN[,729348,B,-
465043,NTN[,764931,B,-
449183,NTN[,717107,B,-
449840,NTN[,719146,B,-
432520,NTN[,666522,<L,-
460690,NTN[,752121,B,-
452601,NTN[,727547,B,-
452611,NTN[,727573,B,-
451963,NTN[,725553,B,-
452671,NTN[,727758,B,-
452722,NTN[,727913,B,-
451970,NTN[,725571,B,-
447418,NTN[,711924,B,DIR
457654,NTN[,742867,B,-
451935,NTN[,725472,B,-
456129,NTN[,738211,B,-
451972,NTN[,725580,B,DIR
452285,NTN[,726548,B,-
452050,NTN[,725814,B,-
456689,NTN[,739911,B,DIR
451924,NTN[,725437,B,-
457492,NTN[,742344,B,-
466617,NTN[,769382,B,-
457656,NTN[,742875,B,-
463390,NTN[,760240,B,DIR
447425,NTN[,711945,B,DIR
457874,NTN[,743546,B,-
452568,NTN[,727436,B,-
455994,NVC[,737798,<L,DIR
439963,PNH[,689293,>L,?
439826,PNH[,688856,>L,?
455354,PNH[,735890,>L,DIR
448320,PNH[,714618,>L,?
462298,PNH[,756850,>L,-
440686,PNH[,691500,>L,?
439921,PNH[,689158,>L,?
448332,PNH[,714649,>L,?
442216,PNH[,696083,>L,DIR
442809,PNH[,697874,>L,DIR
445069,PNH[,704767,final_h,DIR
