,clause,verb,phrase,cmpl_type,cmpl_func
452545,452545,HLK[,727355,B,DIR
454706,454706,HLK[,733925,B,-
461665,461665,HLK[,754980,B,-
463426,463426,HLK[,760347,B,-
461613,461613,HLK[,754817,B,-
463451,463451,HLK[,760425,B,-
463457,463457,HLK[,760444,B,-
463525,463525,HLK[,760646,B,-
459916,459916,HLK[,749775,B,LOC
463550,463550,HLK[,760721,B,-
463350,463350,HLK[,760095,B,-
463106,463106,HLK[,759372,B,LOC
463105,463105,HLK[,759369,B,LOC
463724,463724,HLK[,761230,B,LOC
463725,463725,HLK[,761235,B,LOC
458197,458197,HLK[,744511,B,LOC
463979,463979,HLK[,761916,B,LOC
455964,455964,HLK[,737703,B,?
464520,464520,HLK[,763436,<L,DIR
463064,463064,HLK[,759245,B,LOC
457675,457675,HLK[,742940,B,LOC
439730,439730,HLK[,688588,B,-
432527,432527,HLK[,666546,B,-
462816,462816,HLK[,758499,B,-
457044,457044,HLK[,741002,B,-
462795,462795,HLK[,758431,B,-
464699,464699,HLK[,763950,B,-
461374,461374,HLK[,754090,B,-
464720,464720,HLK[,764016,B,-
464729,464729,HLK[,764049,B,-
433821,433821,HLK[,670341,B,LOC
464339,464339,HLK[,762926,<L,DIR
439733,439733,HLK[,688597,B,-
462445,462445,HLK[,757282,B,-
439868,439868,HLK[,688986,B,LOC
451312,451312,HLK[,723624,B,-
451107,451107,HLK[,722950,B,DIR
451034,451034,HLK[,722709,B,LOC
443272,443272,HLK[,699368,B,LOC
450744,450744,HLK[,721793,B,-
450151,450151,HLK[,720038,B,LOC
444519,444519,HLK[,703071,B,LOC
449497,449497,HLK[,718062,B,?
444996,444996,HLK[,704565,B,LOC
445162,445162,HLK[,705050,B,LOC
445622,445622,HLK[,706435,B,-
449080,449080,HLK[,716785,<L,DIR
449126,449126,HLK[,716926,B,LOC
445856,445856,HLK[,707126,B,-
446106,446106,HLK[,707858,B,-
448191,448191,HLK[,714248,B,-
446223,446223,HLK[,708217,B,-
448087,448087,HLK[,713926,B,-
446419,446419,HLK[,708820,B,-
447918,447918,HLK[,713386,B,?
447801,447801,HLK[,713026,B,-
447660,447660,HLK[,712664,B,-
462344,462344,HLK[,756986,B,-
446952,446952,HLK[,710466,B,-
448958,448958,HLK[,716408,B,LOC
440666,440666,HLK[,691422,B,-
443438,443438,HLK[,699856,B,DIR
451550,451550,HLK[,724382,<L,-
428176,428176,HLK[,653468,<L,LOC
467727,467727,HLK[,772793,B,-
467710,467710,HLK[,772738,B,-
467704,467704,HLK[,772719,B,-
427834,427834,HLK[,652375,<L,LOC
454808,454808,HLK[,734232,<L,LOC
440042,440042,HLK[,689511,B,-
439408,439408,JCB[,687543,<L,LOC
461218,461218,JCB[,753628,<L,LOC
461206,461206,JCB[,753597,<L,LOC
435465,435465,JCB[,675341,<L,LOC
462294,462294,JCB[,756838,<L,LOC
462261,462261,JCB[,756741,<L,LOC
461458,461458,JCB[,754337,<L,LOC
465238,465238,JCB[,765486,<L,LOC
466414,466414,JCB[,768748,<L,LOC
466860,466860,JCB[,770138,<L,LOC
466651,466651,JCB[,769497,<L,LOC
458121,458121,JCB[,744277,<L,LOC
457193,457193,JCB[,741449,<L,LOC
456581,456581,JCB[,739575,<L,LOC
438950,438950,JCB[,686090,<L,-
439401,439401,JCB[,687522,<L,LOC
440529,440529,JCB[,690979,<L,LOC
440526,440526,JCB[,690967,<L,LOC
439498,439498,JCB[,687845,<L,LOC
439477,439477,JCB[,687775,<L,LOC
466524,466524,JCB[,769082,<L,LOC
433688,433688,JCB[,669961,<L,LOC
439470,439470,JCB[,687753,<L,LOC
461190,461190,JCB[,753541,<L,LOC
461421,461421,JCB[,754237,<L,LOC
461327,461327,JCB[,753959,<L,LOC
461280,461280,JCB[,753812,<L,LOC
461234,461234,JCB[,753672,<L,LOC
461245,461245,JCB[,753707,<L,LOC
433214,433214,JCB[,668601,<L,LOC
448218,448218,JCB[,714321,<L,LOC
430991,430991,JCB[,661997,<L,LOC
461259,461259,JCB[,753747,<L,LOC
451915,451915,KR<[,725410,<L,LOC
464821,464821,KR<[,764295,<L,DIR
451919,451919,KR<[,725422,<L,DIR
462430,462430,KR<[,757240,<L,DIR
432992,432992,NF>[,667909,B,DIR
466791,466791,NF>[,769920,<L,LOC
460262,460262,NF>[,750834,B,DIR
