,clause,verb,phrase,cmpl_type
446687,446687,HLK[,709646,L
446698,446698,FMX[,709676,L
446711,446711,XGG[,709714,L
446719,446719,NTN[,709744,L
446733,446733,<FH[,709793,L
446782,446782,>MR[,709935,L
446811,446811,>MR[,710028,L
446868,446868,NTN[,710212,L
446947,446947,NTN[,710453,L
446959,446959,>RB[,710496,L
446970,446970,VWB[,710531,L
446982,446982,<MD[,710571,L
446988,446988,<FH[,710588,L
446990,446990,<FH[,710592,L
447030,447030,CWB[,710697,L
447037,447037,CWB[,710716,L
447044,447044,CWB[,710735,L
447052,447052,CWB[,710754,L
447063,447063,PTX[,710786,L
447076,447076,NTN[,710830,L
447077,447077,<FH[,710833,L
447086,447086,<FH[,710865,L
447087,447087,XV>[,710868,L
447144,447144,JY>[,711038,L
447149,447149,LQX[,711056,L
447213,447213,<FH[,711262,L
447214,447214,<FH[,711266,L
447215,447215,<FH[,711270,L
447233,447233,JVB[,711327,L
447271,447271,NTN[,711450,L
447404,447404,NDR[,711873,L
447460,447460,<FH[,712047,L
447545,447545,QR>[,712309,L
447575,447575,<FH[,712401,L
447606,447606,NTN[,712498,L
447610,447610,>MR[,712511,L
447626,447626,NTN[,712564,L
447631,447631,NTN[,712577,L
447635,447635,NTN[,712589,L
447652,447652,NTN[,712641,L
447794,447794,NWS[,713002,L
447807,447807,NTN[,713048,L
447862,447862,NWS[,713202,L
447884,447884,CWB[,713274,L
447955,447955,NTN[,713509,L
447957,447957,NTN[,713515,L
448020,448020,>MR[,713716,L
448033,448033,<FH[,713758,L
448047,448047,JY>[,713806,L
448090,448090,SLX[,713935,L
448110,448110,<FH[,714003,L
448120,448120,XLQ[,714031,L
448132,448132,NTN[,714067,L
448220,448220,NTN[,714327,L
448237,448237,<FH[,714374,L
448238,448238,<FH[,714377,L
448241,448241,<FH[,714387,L
448252,448252,QR>[,714415,L
448258,448258,NTN[,714433,L
448409,448409,>MR[,714858,L
448443,448443,ZBX[,714935,L
448490,448490,BJN[,715053,L
448604,448604,RJB[,715388,L
448606,448606,>MR[,715394,L
448625,448625,>MR[,715445,L
448629,448629,>MR[,715458,L
448638,448638,BW>[,715478,L
448645,448645,>MR[,715497,L
448655,448655,>MR[,715517,L
448665,448665,>MR[,715543,L
448668,448668,>MR[,715550,L
448672,448672,>MR[,715560,L
448725,448725,<FH[,715730,L
448749,448749,NTN[,715796,L
448783,448783,>MR[,715884,L
448791,448791,NTN[,715907,L
448792,448792,<BR[,715914,L
448797,448797,CWB[,715933,L
448799,448799,NTN[,715939,L
448835,448835,BW>[,716030,L
448870,448870,<FH[,716134,L
448886,448886,>MR[,716187,L
448896,448896,>MR[,716219,L
448901,448901,HLK[,716235,L
448966,448966,<BR[,716434,L
448968,448968,HLK[,716440,L
449031,449031,>MR[,716621,L
449039,449039,>MR[,716648,L
449062,449062,<BR[,716726,L
449063,449063,<BR[,716731,L
449079,449079,CWB[,716781,L
449095,449095,<FH[,716831,L
449133,449133,NTN[,716947,L
449160,449160,>MR[,717043,L
449169,449169,>MR[,717066,L
449204,449204,<BR[,717175,L
449276,449276,>MR[,717391,L
449324,449324,NWS[,717539,L
449358,449358,QWM[,717651,L
449372,449372,QWM[,717684,L
449377,449377,QRB[,717699,L
449378,449378,QRB[,717706,L
449380,449380,QRB[,717713,L
449407,449407,XV>[,717794,L
449442,449442,<FH[,717905,L
449443,449443,<FH[,717908,L
449463,449463,NWS[,717961,L
449469,449469,NWS[,717976,L
449556,449556,NPL[,718247,L
449601,449601,<FH[,718407,L
449681,449681,QR>[,718654,L
449697,449697,JR>[,718704,L
449702,449702,<FH[,718715,L
449703,449703,<FH[,718719,L
449712,449712,<FH[,718749,L
449713,449713,<FH[,718752,L
449758,449758,>MR[,718897,L
449817,449817,<FH[,719072,L
449836,449836,<FH[,719130,L
449837,449837,<FH[,719133,L
449845,449845,<FH[,719160,L
449846,449846,<FH[,719163,L
449855,449855,<FH[,719193,L
449868,449868,<FH[,719234,L
449876,449876,<FH[,719258,L
449887,449887,<FH[,719288,L
449888,449888,<FH[,719291,final_h
449889,449889,<FH[,719295,L
449929,449929,<FH[,719415,L
449930,449930,>MR[,719419,L
450060,450060,NTN[,719744,L
450061,450061,NTN[,719749,L
450079,450079,NTN[,719800,L
450095,450095,NTN[,719846,L
450102,450102,NTN[,719867,L
450239,450239,>MR[,720328,L
450344,450344,QRB[,720579,L
450385,450385,>WY[,720716,L
450413,450413,NTN[,720804,L
450429,450429,NTN[,720864,L
450493,450493,JY>[,721066,L
450507,450507,<LH[,721105,L
450509,450509,<LH[,721113,final_h
450523,450523,JY>[,721156,L
450531,450531,JY>[,721185,L
450545,450545,JY>[,721227,L
450558,450558,JY>[,721272,L
450627,450627,JY>[,721494,L
450716,450716,NTN[,721697,L
450726,450726,QR>[,721733,L
450739,450739,NTN[,721777,L
450751,450751,NTN[,721812,L
450752,450752,NTN[,721817,L
450823,450823,>MR[,722044,L
450832,450832,<FH[,722068,L
450838,450838,>MR[,722089,L
450871,450871,QR>[,722194,L
450878,450878,QR>[,722218,L
450883,450883,<FH[,722233,L
450928,450928,NTN[,722366,L
450934,450934,BW>[,722387,L
450941,450941,NTN[,722412,L
450949,450949,NTN[,722437,L
450951,450951,QR>[,722445,L
450988,450988,QR>[,722571,L
450991,450991,CM<[,722578,L
451016,451016,BXR[,722659,L
451045,451045,NF>[,722741,L
451088,451088,<FH[,722883,L
451104,451104,>MR[,722939,L
451151,451151,>MR[,723090,L
451153,451153,>MR[,723096,L
